                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.91174,                 0.7698,                  1.066,                0.89085,                0.78896,                0.86696,                0.71083,                0.77838,                0.58926,                0.94792,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.89105,                0.78246,                 1.0693,                0.89488,                0.78862,                0.87291,                 0.7138,                0.77376,                 0.5873,                0.94506,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.90574,                0.75862,                 1.0617,                0.89832,                0.78519,                0.87292,                 0.7171,                0.76904,                0.58324,                0.94157,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.84765,                0.74447,                 1.0496,                0.90334,                0.78923,                0.87491,                0.72145,                0.76465,                0.57672,                0.93955,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.84042,                 0.7561,                 1.0399,                0.89388,                0.79842,                0.87584,                0.72168,                 0.7639,                0.57032,                0.93829,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                 0.8396,                0.73453,                 1.0525,                0.87899,                0.79615,                0.87009,                0.72319,                0.76292,                0.56705,                0.93804,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.83195,                 0.7373,                 1.0194,                0.89782,                0.79096,                0.87253,                0.72321,                0.75971,                0.56489,                 0.9367,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.87703,                0.73529,                 1.0378,                0.90149,                0.79186,                0.87534,                 0.7256,                0.75814,                0.56326,                0.93612,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                 0.8538,                0.72384,                 1.0289,                0.90759,                0.79188,                0.87406,                0.72791,                0.75708,                0.56622,                0.93587,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.90029,                0.73359,                 1.0472,                0.90855,                0.78881,                0.87366,                0.72884,                0.75566,                0.56716,                0.93557,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.92144,                0.77539,                 1.0786,                0.90255,                0.79839,                0.87982,                  0.729,                0.75494,                0.56794,                0.93467,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.86611,                  0.735,                 1.0596,                0.90284,                0.79907,                0.87892,                0.72923,                0.75207,                0.56604,                0.93384,             4.9492e-05,             4.9492e-05,             4.9492e-05
